Subject	Age	Condition	Item	Frequency	Rating
s249	27	Study1	Item107	133	5
s249	27	Study1	Item048	318	5
s249	27	Study1	Item112	256	5
s249	27	Study1	Item186	239	3
s150	26	Study1	Item129	210	5
s150	26	Study1	Item172	135	5
s150	26	Study1	Item165	510	4
s150	26	Study1	Item011	952	3
s150	26	Study1	Item074	492	5
s150	26	Study1	Item121	437	5
s150	26	Study1	Item137	506	5
s150	26	Study1	Item038	104	4
s150	26	Study1	Item087	382	4
s150	26	Study1	Item155	91	5
s150	26	Study1	Item065	785	5
s150	26	Study1	Item029	1473	4
s150	26	Study1	Item006	41	1
s150	26	Study1	Item170	1070	1
s150	26	Study1	Item014	241	4
s150	26	Study1	Item020	24	5
s150	26	Study1	Item072	114	3
s150	26	Study1	Item180	4425	5
s150	26	Study1	Item157	1424	5
s150	26	Study1	Item027	464	4
s150	26	Study1	Item158	38	5
